size_kid,id_1child,sim_draw,old_age,year,old_age97,dad_age,mom_age,dad_edu,mom_edu,old_male,t_old_tot_mom_around,t_old_tot_dad_around,t_old_tot_mom_act,t_old_tot_dad_act,mom_hours,dad_hours,mom_wage,dad_wage,old_score,noninc,mom_housework,dad_housework,mom_leisure,dad_leisure,expend,consume,kt,kt_p1,kt_p1_meas,expend_ratio,utility,all_wage1,all_wage2,yng_age,t_old_alone_mom_act,t_old_alone_mom_around,t_yng_alone_mom_act,t_yng_alone_mom_around,t_old_sa_mom_act,t_old_sp_mom_act,t_old_sa_mom_around,t_old_sp_mom_around,t_old_alone_dad_act,t_old_alone_dad_around,t_yng_alone_dad_act,t_yng_alone_dad_around,t_old_sa_dad_act,t_old_sp_dad_act,t_old_sa_dad_around,t_old_sp_dad_around,kt_yng,kt_p1_yng,yng_score,kt_p1_yng_meas
1,1,1,13,2007,3,48,45,15,10,1,10.9111428692253,37.2137652834485,9.84201580820985,33.4960903930198,78.7588174632568,0,2.30495270141275e+74,NA,57,1.23943158478617,NA,NA,12.4880238593081,41.2901443235318,2.1265556643741e+75,1.60269792428266e+76,NA,NA,NA,0.117142786528622,NA,2.30495270141275e+74,2.05153004813964e+52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,14,2008,3,49,46,15,10,1,14.5845344622513,44.1998855766406,12.0523020582597,36.5606381139582,74.3729688038325,0,1.24492008987097e+78,NA,57,1.1377188277245,NA,NA,10.9901946756565,31.2394763094012,1.64080821405196e+79,7.61803208667186e+79,NA,NA,NA,0.177215305671023,NA,1.24492008987097e+78,8.10352249352588e+54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,15,2009,3,50,47,15,10,1,24.7073301235665,55.714817710771,18.705394641201,42.3511738557639,61.77784285242,0,1.24808267442905e+81,NA,57,1.18315156103853,NA,NA,6.80943238281249,13.9340084334651,2.97832596523089e+82,4.73205956753967e+82,NA,NA,NA,0.386274584140113,NA,1.24808267442905e+81,5.27244141756556e+56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,16,2010,3,51,48,15,10,1,35.4339082161492,63.756151131241,24.5767093702628,44.536793497669,49.6426946975422,0,2.87183600689907e+84,NA,57,1.26772901920268,NA,NA,2.34668771604588,3.70705537109001,1.05041527271467e+86,3.75241508404324e+85,NA,NA,NA,0.736793937100487,NA,2.87183600689907e+84,8.19040243045002e+58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,3,1997,3,38,35,15,10,1,8.42924305935538,22.025702018545,18.2543421304313,46.1529114220845,72.8847187554211,0,1.12213760113399e+45,NA,8,1.15214775720102,NA,NA,12.4316960547922,43.8213865593704,4.11326211410327e+45,7.76734213494307e+46,NA,NA,NA,0.0502925652430598,NA,1.12213760113399e+45,7.93300416444422e+32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,4,1998,3,39,36,15,10,1,8.60238759797843,23.200322766926,17.0671197760003,44.675095153272,73.7950244224359,0,8.13889547564061e+47,NA,48,1.2028515397059,NA,NA,12.5354682035853,44.1245820798019,3.25398428472588e+48,5.68070147549294e+49,NA,NA,NA,0.0541779913214137,NA,8.13889547564061e+47,8.140400571366e+34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,5,1999,3,40,37,15,10,1,8.77140612351307,24.4153184887726,15.9431477199238,43.20519498177,74.6592190189011,0,1.49603933273404e+51,NA,57,1.22070704990154,NA,NA,12.626227137662,44.3794865294574,6.51812200253492e+51,1.05175006200947e+53,NA,NA,NA,0.0583574129167576,NA,1.49603933273404e+51,1.89608726127442e+37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,6,2000,3,41,38,15,10,1,8.93622067849463,25.670332490415,14.8806655601113,41.745261476599,75.4791455250013,0,3.88361407887877e+53,NA,57,1.14197206686703,NA,NA,12.7039682363928,44.584406032986,1.84238116728439e+54,2.74708060549791e+55,NA,NA,NA,0.0628516153263979,NA,3.88361407887877e+53,5.72948876081124e+38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,7,2001,3,42,39,15,10,1,9.09676681584677,26.9648866722989,13.8777530147566,40.2973425870339,76.256789992148,0,1.35350978844113e+56,NA,57,1.14459867940056,NA,NA,12.7686901772487,44.7377707406672,6.98581816403636e+56,9.62284935254354e+57,NA,NA,NA,0.0676826503000256,NA,1.35350978844113e+56,2.27601389545933e+40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,8,2002,3,43,40,15,10,1,9.25304472556767,28.2984719910794,12.9324370704596,38.8635895083036,76.9941534023343,0,7.85464549624958e+58,NA,57,1.1791368116692,NA,NA,12.8203648016384,44.837938500617,4.40716534383347e+59,5.6069012682086e+60,NA,NA,NA,0.0728744025778978,NA,7.85464549624958e+58,1.46475403635437e+42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
